video_id,title,tags,view_count,like_count,comment_count,trending_date
PkXa-NSsLIU,I Got My Own Brainrot In Escape Tsunami For Brainrots...,,304650,10639,541,2026-02-07T06:16:00.103323
AO3jzWFH954,ROBLOX SURVIVE LAVA FOR BRAINROTS!,foltyn foltyn roblox roblox roblox foltyn foltyn family funny no swearing foltyn family roblox roblox foltyn family blade ball roblox blade ball foltyn blade ball survive lava for brainrots survive lava roblox survive lava for brainrots roblox escape tsunami for brainrots roblox brainrot foltyn brainrot foltyn and caylus playing roblox,189740,4764,1229,2026-02-07T06:15:56.525149
G4I2gdXkZe8,Contra Force (NES) - Angry Video Game Nerd (AVGN),james rolfe cinemassacre contra contra force avgn contra cinemassacre contra james and mike contra james rolfe contra avgn nes cinemassacre nes james rolfe nes avgn contra force avgn contra 4 avgn 20th anniversary avgn 230 avgn season 20 beating contra force contra force review avgn contra review avgn 2026 avgn nintendo avgn cookunity avgn cooking,194824,18742,2889,2026-02-07T06:15:56.511108
os2q9zkYFWo,10 Seconds vs 1 Hour VOLCANO Build Battle!,I Cheated with OP MIND FLAYER in a MOB BATTLE! Playing Steal a Brainrot on CHRISTMAS... and His MOM Joined… steal a brainrot funny comedy roblox roblox meme roblox obby roblox roleplay roblox funny sunny roblox roblox brookhaven cash nico and cash roblox funny moments Extreme Stranger Things HIDE AND SEEK! Having an ELEMENTAL SLEEPOVER in Minecraft... Johnny Becomes POSSESSED In Minecraft! 10 Seconds vs 1 Hour VOLCANO Build Battle!,82989,1530,192,2026-02-07T06:15:44.149812
uYsLAlshAKc,GTA 5 Moments Where Bad Things Happen on Mt. Chilliad,WILDCAT I AM WILDCAT iamwildcat,68520,5483,194,2026-02-07T06:15:44.156337
L-oHB2DG5R4,OWNER vs HACKER In Steal A Brainrot!,OWNER vs HACKER In Steal A Brainrot! roblox kaye steal a brainrot sab roblox steal a brainrot sammy owner,91952,2029,536,2026-02-07T06:15:56.560961
ausKhXBpjKI,i should have never returned to this game...,funny gameplay funny game frick frack fruit snack 3fs horror frickfrackfruitsnack horror games gaming 3FS blind playthrough 3fs hellmart,324708,29714,2620,2026-02-07T06:16:00.033235
2WXn6hHuO38,Why I Ate My Friend’s ENTIRE World?,minecraft unspeakable unspeakableplays mini game game custom crazy challenge modded games maps secret redstone funny moments mcpe minecraft pe pocket edition unspeakablegaming trolling gameplay playthrough tutorial traps glitch funny craziest prank pranks no cursing no swearing creations facts how to parody adventure comedy video unspeakableplays minecraft Why I Ate My Friend’s ENTIRE World,119943,1850,222,2026-02-07T06:16:00.074069
6CaJKDMO9gs,"I GOT A JOB AT A CHURCH WHERE PEOPLE GO MISSING BUT THE ""FOOD"" IS DELICIOUS (2 random games)",kubz scouts kubz scouts free random games free random games kubz scouts church horror game crabmeat demo cursed meal demo jumpscares kubz scouts scary games,117132,10142,621,2026-02-07T06:15:44.219440
YPSTSckRSpE,TIMTHETATMAN SOLO BRONZE TO CELESTIAL CHALLENGE (DAY 1),timthetatman tatmanarmy tim the tat man timthetatman ninja nickmercs funny moments gameplay compilation funny fat streamer spectating solos warzone hacker warzone cheater cheater hacker solos warzone solo warzone solos tim solos tim the tatman timthetatman spectates timthetatman highlights timthetatman moments warzone spectating best of best of timthetatman best of tim timthetatman funny timthetatman solo LIVE LIVESTREAM STREAM,132670,2391,35,2026-02-07T06:15:44.226741
ALVWy5E6k8Y,Fooling my Friends with Cthulhu in Minecraft,minecraft mine craft minecraft youtuber pg family friendly no swearing no cursing doni bobes mcpe minecraft mods minecraft funny minecraft map parkour trolling troll roleplay challenge try not to laugh doni bobes face reveal doni bobes face Fooling my Friends with Cthulhu in Minecraft,114717,8196,1113,2026-02-07T06:16:00.081895
O7MKa34JdcE,Catching The Magic Bullet in GTA RP | OCRP,Grand Theft Auto GTA GTA V GTA 5 Grand Theft Auto GTA Online GTA 5 Online Multiplayer SAPDFR GTA V SAPDFR GTA 5 SAPDFR Criminal Police Police Chase Police Pursuit Bay Area Buggs Bayareabuggs Bay Area Buggs PC Gameplay HD 4K 60fps Friends Funny Group Video Game Gaming Mods Modifications FiveM Multiplayer Mods Multiplayer With Mods OCRP Orange County Role Play Role Play Role Playing Community GTA 5 Roleplay Pursuit Cops Magic Magician Magic Show,93865,6419,417,2026-02-07T06:15:44.274845
zyV-fZ231Uo,9200+ Knocks,Tfue Fortnite OG Fortnite Victory Royale Fortnite Chapter 4 OGFOrtnite Tfue Livestream Tfue Full Vod Tfue Stream Highlights Tfue Streamhighlights Fortnite Chapter 5 Fortnite Battle Royale Fortnite Chapter 5 Season 1 Tfue Fortnite TfueFortnite arc raiders,241446,2860,12,2026-02-07T06:15:44.280846
kzO-2POti1k,"100 Switch Players Compete for a $2,000 PC",fortnite buying switch player 100 switch players compete for a $2000 pc,83018,3563,1147,2026-02-07T06:15:44.305206
dV-LUQKhQ04,This One Mistake Cost Him the World Record,ludwig twitch clips,146026,5881,74,2026-02-07T06:15:56.565802
7CUnzTSA1WU,My girlfriend...,Convince the CRAZY Idol to let you free roblox jayingee jake roblox funny roblox funny moments funny moments roblox game trolling roblox trolling roblox funny jayingee trolling roblox simulator roblox gameplay brainrot funny roblox roblox story roblox games roblox roleplay roblox girlfriend convince the crazy idol girlfriend boyfriend roblox ai ai,105182,4340,829,2026-02-07T06:15:44.312022
rehYp8OraKM,I Asked 96 Fortnite Players to HUNT ME,fortnite fortnite battle royale competitive gaming highlights gameplay fortnite highlights fortnite tips stream highlights how to play fortnite gameplay sypher new update sypherpk fortnite update fortnite new patch fortnite new item everything epic didnt tell you fortnite new update fortnite leaks fortnite event mr beast fortnite undercover fashion show fortnite chapter 6 fortnite season 4,145450,4811,424,2026-02-07T06:15:44.318017
LJMawlv11S0,Riley GOES TO THE DENTIST..(Brookhaven),Brook Brookhaven RP Brookhaven Roblox Brookhaven Roblox Brook and Riley Riley BrookBlox Bash Riley GOES TO THE DENTIST..(Brookhaven),84274,2466,581,2026-02-07T06:15:44.341940
yWEeeTUq1pM,DON'T VISIT THE PIER AT 3 AM in GTA 5...,Techy TechyCrew Among Us Fortnite Fortnite Creative Roblox Techy Roblox Among Us Roles,184793,3509,388,2026-02-07T06:15:48.431290
TcEhTYLpuEU,FNS | SEN vs LEV - VCT Americas Kickoff #VCTWatchparty !INZONE,,148097,2098,6,2026-02-07T06:15:56.517636
JDVRv15xqRI,29 Intro,J. Cole ジェイコール J． コール The Fall-Off 29 Intro,616628,16123,1748,2026-02-07T06:16:00.189302
kwwdY1bp-Ck,Todo Lo Fue - (Video Oficial) - Lenin Ramirez - DEL Records 2026,Todo Lo Fue Lenin Ramirez DEL Records Regional Mexican Regional Mexicano Musica Mexicana Latin trending tiktok,11386114,110293,1411,2026-02-12T14:43:24.637736
EDs6goDO8OU,SAFETY,J. Cole ジェイコール J． コール The Fall-Off SAFETY,1508864,48276,1483,2026-02-12T14:43:38.956795
BQdmfuMKqvs,J. Cole - Bunce Road Blues (Official Audio),,302957,14721,1678,2026-02-07T06:15:44.401537
4BvXZ4Gqnc0,Ya Borracho - Herencia De Grandes (Letra),Ya Borracho - Herencia De Grandes (Letra) Ya Borracho - Herencia De Grandes Herencia De Grandes Ya Borracho Letra letra,964497,2363,30,2026-02-07T06:15:44.406390
j4NPNp8SEk0,J. Cole - WHO TF IZ U (Official Audio),,378018,21268,2575,2026-02-07T06:15:44.422774
IJgCvnvO3Bc,J. Cole - The Let Out (Official Audio),,346421,19228,2552,2026-02-07T06:15:44.427958
SKs80r2Lp34,Noah Kahan - The Great Divide (Official Music Video),Noah Kahan Mercury Records Alternative,852723,27449,1594,2026-02-07T06:15:44.436975
xVTjhyxsJqM,Vonoff1700  - Bread Winner (Official Video),,571939,19865,742,2026-02-12T14:43:24.649154
PrU4SVVBVdw,"Compton Av, Steelz, Lola Brooke & Natalie Nunn - YAYA (SheMix) (Video) (feat. Blueface & India Love)",Compton AV AV AVLMKR LMKR Compton Hip Hop Rap,811629,28645,1804,2026-02-12T14:43:24.656265
KHpA7_c3u1Y,J. Cole - Bombs in the Ville/Hit the Gas (Official Audio),,214560,10660,996,2026-02-07T06:15:44.448461
JiNxvNtlBPM,Body,Don Toliver OCTANE Body,1141914,35188,332,2026-02-07T06:15:44.452452
dSqZm7FdsBo,Rooga - Fed Up (Official Music Video),,490087,26505,3725,2026-02-07T06:15:44.458540
OLpxwid-WtU,Feed the Streets,Rod Wave Feed the Streets,624500,17089,177,2026-02-07T06:15:44.463360
d7csQEozIMg,J. Cole - 39 Intro (Official Audio),,206858,10828,1282,2026-02-07T06:15:44.473377
tW8F8JCn6UQ,"HARDY, Eric Church, Morgan Wallen, Tim McGraw - McArthur (Lyric Video)",HARDY Country Country music Country! Bottomland COUNTRY! COUNTRY! hardy country music Bro Country ERNEST Dpg Years Dog COuntry Country country mcarthur,732475,16872,922,2026-02-07T06:15:44.483556
0a_a439giHw,J. Cole - The Villest (Official Audio),,186765,9447,866,2026-02-07T06:15:44.488543
kWZhG9fvpL0,Bally Baby & Belly Gang Kushington - Hustlin Mf Pt. 2 (Official Video),bellygangkushington ballybaby hustlinmf atlanta,541257,10553,430,2026-02-12T14:43:24.658259
VrLwRDOVQ6U,E85,Don Toliver OCTANE E85,1053570,28391,624,2026-02-07T06:15:44.493218
v-Vy_EiovYE,J. Cole - Old Dog (Official Audio),,171836,9736,821,2026-02-07T06:15:44.498206
5EBlryvKO2o,Fixing a FREE tv from Facebook marketplace. #technology #tech #tv #shorts,,3201695,202359,2335,2026-02-12T14:43:38.994809
Cf4TqoVmbWQ,Retro modern tv versus 1969 tv,,740561,24883,263,2026-02-07T06:15:56.888469
UNd5he5ii8Y,The Perfect security camera for outside your house 😮📸 link in bio 🎥,,608237,8808,71,2026-02-07T06:16:00.296192
n8g2PUjIbvY,Friend Gave Me A Broken PS5 - The Fix Was Brutal 😰 #ps5repair #console #shorts,Apple iPhone Android Samsung Shorts Short MacBook Tablet Pc Computer Learn Fix Soldering Unlock YouTube TikTok Instagram Update PS4 PS5 Xbox Nintendo Switch Game Gamer Destroy USA England Canada Australia iPhone repair Cheap repair Tablet fix Samsung fix Game console before and after repair liquid damage repair logic board repair ipad repair ps5 playstation 5 repair gaming console repair broken ps5 console repair ps5 disassembly playstation 5 repair,371476,14552,611,2026-02-07T06:15:44.667898
mKUgYGKklIs,"Si logras reventar el Honor Magic8 Lite te ganas $10,000 😱",,1457319,65288,434,2026-02-07T06:15:44.701591
VNvtysVCIMs,do you think it’s real?? #iphone #iphone5s #iphoneunboxing #unboxing,,88264,5567,60,2026-02-07T06:15:44.725837
KffgIW_Jlc8,Nvidia Double Dips | Extra Credits Gaming,nvidia stock nvidia graphics card best graphics card 2025 rtx 3060 rtx 3090 graphics card shortage graphics card prices gaming ai bubble ai data center gamer nvidia stock analysis nvidia stock price ai data center infrastructure nvidia stock predictions video games video game extra credits pc gaming pc game design game industry games animated gaming industry animated stories games industry video game lover,513295,63181,1441,2026-02-07T06:15:44.740974
zp0Y0YP_CVs,iPhone Lockdown Mode #duet #iphone #lockdown #mode #ice #fbi #surveillance #technology #privacy,authentic breaking news current events hawk hawk podcasts news politics,71527,9542,251,2026-02-07T06:15:44.744974
Q_JPUUK6BbA,Apple Needs To Be Stopped 😳,,157534,17334,531,2026-02-07T06:15:56.925320
